"year","reg","sex","s.age","length","mean","sd","n","se"
"227",1983,"3A ","F",13,"length",138,13.4081235740792,19,3.07603450957455
"228",1983,"3A ","F",14,"length",137.142857142857,16.1563786607201,21,3.52561086519615
"229",1983,"3A ","F",15,"length",144.333333333333,10.4522724801834,9,3.48409082672781
"230",1983,"3A ","F",16,"length",149.333333333333,18.5652004208591,6,7.57921133393472
"231",1983,"3A ","F",17,"length",156,21.6564078277077,5,9.6850400102426
"232",1983,"3A ","F",18,"length",161,NA,1,NA
"233",1983,"3A ","M",12,"length",97.25,33.8207171581401,12,9.76320007771918
"234",1983,"3A ","M",13,"length",108.090909090909,18.107758256916,11,5.45969453933184
"235",1983,"3A ","M",14,"length",104.6,16.5166582576501,5,7.38647412504776
"236",1983,"3A ","M",15,"length",101.666666666667,13.3166562369588,3,7.68837506311386
"237",1983,"3A ","M",16,"length",128,NA,1,NA
"238",1983,"3A ","M",17,"length",134.5,9.19238815542512,2,6.5
"239",1984,"2B ","F",12,"length",123.75,15.4137384606504,4,7.7068692303252
"240",1984,"2B ","F",13,"length",119.333333333333,12.0138808606267,3,6.93621734889494
"241",1984,"2B ","F",14,"length",138,NA,1,NA
"242",1984,"2B ","F",15,"length",139.5,21.920310216783,2,15.5
"243",1984,"2B ","F",17,"length",145,NA,1,NA
"244",1984,"2B ","M",12,"length",88.125,7.07990112925315,8,2.5031230493126
"245",1984,"2B ","M",13,"length",100.75,14.4539498638492,4,7.22697493192461
"246",1984,"2B ","M",14,"length",94.3333333333333,12.0138808606267,3,6.93621734889494
"247",1984,"2B ","M",15,"length",124,NA,1,NA
"248",1984,"2B ","M",16,"length",111,NA,1,NA
"249",1984,"2C ","F",12,"length",122,16.0686029262036,11,4.84486607376584
"250",1984,"2C ","F",13,"length",130.272727272727,14.464376302426,11,4.36117354742319
"251",1984,"2C ","F",14,"length",147,14.3874945699382,9,4.79583152331272
"252",1984,"2C ","F",15,"length",162.571428571429,26.3998556994613,7,9.97820754696654
"253",1984,"2C ","F",16,"length",135.333333333333,32.1921315438002,3,18.5861358126009
"254",1984,"2C ","F",17,"length",138.5,2.12132034355964,2,1.5
"255",1984,"2C ","F",18,"length",167.75,18.3189337389853,4,9.15946686949264
"256",1984,"2C ","M",12,"length",99.4285714285714,11.2708902502405,14,3.01227212573792
"257",1984,"2C ","M",13,"length",103.2,6.57267069006199,5,2.93938769133981
"258",1984,"2C ","M",14,"length",103.777777777778,16.9910106952013,9,5.66367023173376
"259",1984,"2C ","M",15,"length",108.5,10.0829889748361,4,5.04149448741806
"260",1984,"2C ","M",16,"length",128,18.3847763108502,2,13
"261",1984,"2C ","M",17,"length",101,8.18535277187245,3,4.72581562625261
"262",1984,"2C ","M",18,"length",130.5,31.8198051533946,2,22.5
"263",1984,"3A ","F",12,"length",132.666666666667,14.6372811683044,9,4.87909372276815
"264",1984,"3A ","F",13,"length",138.571428571429,12.6735570231505,7,4.79015430140747
"265",1984,"3A ","F",14,"length",153.25,17.6534092215316,8,6.24142268580307
"266",1984,"3A ","F",15,"length",148.285714285714,27.4148030919689,7,10.3618216033078
"267",1984,"3A ","F",16,"length",178,NA,1,NA
"268",1984,"3A ","F",17,"length",186.666666666667,43.096790290384,3,24.881943475362
"269",1984,"3A ","F",18,"length",151.666666666667,22.5018517756502,3,12.9914501799367
"270",1984,"3A ","M",12,"length",108.625,12.1412814103666,8,4.29259120878221
"271",1984,"3A ","M",13,"length",120.2,12.61744823647,5,5.64269439186635
"272",1984,"3A ","M",14,"length",122.4,12.7003936946852,5,5.67978872846517
"273",1984,"3A ","M",15,"length",117,14.142135623731,2,10
"274",1984,"3A ","M",16,"length",132,11.3137084989848,2,8
"275",1984,"3A ","M",17,"length",150,26.8700576850888,2,19
"276",1984,"3A ","M",18,"length",151,NA,1,NA
"277",1984,"4C ","F",12,"length",132.75,15.1916330355138,8,5.37105336835469
"278",1984,"4C ","F",13,"length",148.666666666667,6.02771377334171,3,3.48010216963685
"279",1984,"4C ","F",14,"length",136,NA,1,NA
"280",1985,"2A ","F",12,"length",138.5,19.0918830920368,2,13.5
"281",1985,"2A ","F",13,"length",130,NA,1,NA
"282",1985,"2A ","F",14,"length",130,1.4142135623731,2,1
"283",1985,"2A ","M",12,"length",103.666666666667,4.04145188432738,3,2.33333333333333
"284",1985,"2A ","M",14,"length",113,NA,1,NA
"285",1985,"2B ","F",12,"length",114.5,2.12132034355964,2,1.5
"286",1985,"2B ","F",13,"length",114.25,19.4486503387767,4,9.72432516938836
"287",1985,"2B ","F",14,"length",130,NA,1,NA
"288",1985,"2B ","F",17,"length",140,NA,1,NA
"289",1985,"2B ","F",18,"length",156,NA,1,NA
"290",1985,"2B ","M",12,"length",88.6666666666667,6.86051504383357,6,2.80079353834667
"291",1985,"2B ","M",13,"length",92,NA,1,NA
"292",1985,"2B ","M",14,"length",93,NA,1,NA
"293",1985,"2B ","M",15,"length",102,8.48528137423857,2,6
"294",1985,"2B ","M",16,"length",133,NA,1,NA
"295",1985,"2B ","M",17,"length",113.333333333333,12.6622799421484,3,7.31057073315377
"296",1985,"2C ","F",12,"length",121.529411764706,15.796034498644,17,3.83110110022411
"297",1985,"2C ","F",13,"length",130.5625,24.7627913073897,16,6.19069782684742
"298",1985,"2C ","F",14,"length",126.714285714286,17.9590498781943,14,4.7997579740134
"299",1985,"2C ","F",15,"length",141.75,15.439765660021,12,4.45707643001893
"300",1985,"2C ","F",16,"length",131.875,15.08487890003,8,5.33331008179455
"301",1985,"2C ","F",17,"length",132.666666666667,21.9787776426867,6,8.97279839911224
"302",1985,"2C ","F",18,"length",182,NA,1,NA
"303",1985,"2C ","M",12,"length",100.545454545455,15.27981437298,11,4.60703737649585
"304",1985,"2C ","M",13,"length",102.666666666667,10.3693688102897,15,2.67735951419565
"305",1985,"2C ","M",14,"length",105.8,10.5703989202552,10,3.34265363645911
"306",1985,"2C ","M",15,"length",106.222222222222,10.3896315836725,9,3.46321052789082
"307",1985,"2C ","M",16,"length",113,16.9705627484771,2,12
"308",1985,"2C ","M",17,"length",122.666666666667,10.0166528008778,3,5.78311719096582
"309",1985,"2C ","M",18,"length",117,6.557438524302,3,3.78593889720018
"310",1985,"3A ","F",12,"length",127.75,17.3840313349506,12,5.01833758541732
"311",1985,"3A ","F",13,"length",127.285714285714,23.6552621750728,7,8.94084870189648
"312",1985,"3A ","F",14,"length",156.75,11.5480363203942,8,4.08284739576963
"313",1985,"3A ","F",15,"length",170.25,11.4236596587959,8,4.03887360535088
"314",1985,"3A ","F",16,"length",188,NA,1,NA
"315",1985,"3A ","F",17,"length",184.5,0.707106781186548,2,0.5
"316",1985,"3A ","F",18,"length",187,NA,1,NA
"317",1985,"3A ","M",12,"length",102.444444444444,14.4837073216003,9,4.82790244053343
"318",1985,"3A ","M",13,"length",105.5,9.09395403551173,6,3.71259118855461
"319",1985,"3A ","M",14,"length",124.666666666667,10.0166528008778,3,5.78311719096582
"320",1985,"3A ","M",15,"length",117.333333333333,7.23417813807024,3,4.17665469538056
"321",1985,"3A ","M",16,"length",145,NA,1,NA
"322",1985,"3A ","M",17,"length",134,NA,1,NA
"323",1986,"2B ","F",12,"length",113.5,16.2634559672906,2,11.5
"324",1986,"2B ","F",13,"length",123.666666666667,3.78593889720018,3,2.185812841434
"325",1986,"2B ","F",14,"length",135.666666666667,18.6100331362771,3,10.7445076408575
"326",1986,"2B ","F",15,"length",118.333333333333,29.6704117486316,3,17.1302202100395
"327",1986,"2B ","F",16,"length",128.75,18.3915741577495,4,9.19578707887476
"328",1986,"2B ","F",18,"length",177,NA,1,NA
"329",1986,"2B ","M",12,"length",83.75,0.957427107756338,4,0.478713553878169
"330",1986,"2B ","M",13,"length",99,NA,1,NA
"331",1986,"2B ","M",14,"length",96,0,2,0
"332",1986,"2B ","M",15,"length",93.6666666666667,7.23417813807024,3,4.17665469538056
"333",1986,"2B ","M",16,"length",91,NA,1,NA
"334",1986,"2B ","M",17,"length",103,NA,1,NA
"335",1986,"2C ","F",12,"length",120.16,18.5037833969164,25,3.70075667938328
"336",1986,"2C ","F",13,"length",134.16,18.6137941681252,25,3.72275883362505
"337",1986,"2C ","F",14,"length",131.666666666667,24.6815005740785,18,5.81748547526352
"338",1986,"2C ","F",15,"length",134.125,24.0501707745645,8,8.50301942169452
"339",1986,"2C ","F",16,"length",150.307692307692,23.5668715763768,13,6.53627414391549
"340",1986,"2C ","F",17,"length",162.4,21.3962613556668,5,9.56869897112455
"341",1986,"2C ","F",18,"length",148,16.9705627484771,2,12
"342",1986,"2C ","M",12,"length",96.0833333333333,13.24220754278,12,3.82269604474447
"343",1986,"2C ","M",13,"length",100.764705882353,10.3230894828335,17,2.50371696002503
"344",1986,"2C ","M",14,"length",103.625,16.39631927337,8,5.79697427234982
"345",1986,"2C ","M",15,"length",106.6,12.8569047597001,5,5.74978260458602
"346",1986,"2C ","M",16,"length",116.625,9.33407735129724,8,3.30009469561102
"347",1986,"2C ","M",17,"length",118.333333333333,8.08290376865476,3,4.66666666666667
"348",1986,"2C ","M",18,"length",123.6,18.6627972179949,5,8.34625664594613
"349",1986,"3A ","F",12,"length",124.333333333333,17.3781471969828,9,5.79271573232759
"350",1986,"3A ","F",13,"length",134.555555555556,15.8280693003846,9,5.2760231001282
